x	y	z
-0.37970715633485197	0.0	0.14247059132518658
-0.37970715633485197	0.014993512882192972	0.11138293078104305
-0.37970715633485197	0.029687155506742835	0.08290292016139253
-0.37970715633485197	0.044089834911004155	0.057235348881298005
-0.37970715633485197	0.05821010883675104	0.04081869601859651
-0.37970715633485197	0.072056202686269	0.030607214221197783
-0.37970715633485197	0.08563602550021998	0.022735726419570817
-0.37970715633485197	0.09895718502247619	0.014580090237928778
-0.37970715633485197	0.11202700191223736	0.009742936927867079
-0.37970715633485197	0.12485252315919904	0.007124853967028073
-0.37970715633485197	0.1374405347534391	0.004341658446077726
-0.37970715633485197	0.14979757365787694	0.003439934594498579
-0.37970715633485197	0.1619299391276885	0.0019862807803309244
-0.37970715633485197	0.17384370341786393	0.002149342484648108
-0.37970715633485197	0.1855447219171431	0.0011063791310601684
-0.37970715633485197	0.19703864274386906	0.0009715352953782329
-0.37970715633485197	0.20833091583679209	0.0005196896701087316
-0.37970715633485197	0.2194268015715779	0.0002338379895103057
-0.37970715633485197	0.23033137893162592	1.3182946357034565e-5
-0.37970715633485197	0.2410495532598782	0.00021817171972954093
-0.37970715633485197	0.2515860636164653	1.8721392007071595e-5
-0.37970715633485197	0.26194548976537857	6.38436604511736e-5
-0.37970715633485197	0.2721322588118098	4.6086124941676e-5
-0.37970715633485197	0.2821506515103662	2.2234367670061183e-5
-0.37970715633485197	0.2920048082630451	0.00010038566734814111
-0.37970715633485197	0.30169873482462295	6.497037877832103e-7
-0.37970715633485197	0.31123630773198196	0
-0.37970715633485197	0.32062127947282315	0
-0.37970715633485197	0.3298572834082545	0
-0.37970715633485197	0.3389478384628126	0
-0.37970715633485197	0.3478963535946433	0
-0.37970715633485197	0.3567061320577636	0
-0.37970715633485197	0.36538037546760505	0
-0.37970715633485197	0.37392218768034957	0
-0.37970715633485197	0.38233457849593133	0
-0.37970715633485197	0.3906204671939857	0
-0.37970715633485197	0.3987826859114718	0
-0.37970715633485197	0.4068239828701805	0
-0.37970715633485197	0.4147470254618495	0
-0.37970715633485197	0.4225544031981654	0
